发帖用户id	科室	所属栏目	相关疾病
zhaihaocheng			乙型肝炎
华夏览雄	影像科	交流	淋巴瘤
希望的山野	放射科	骨肌	骨赘
银河剑客217		心胸	胸腔积液
shitou6822	急诊科		上呼吸道感染
samlea	神经外科		
syw6439	超声科		甲状舌管囊肿
redice2014		心胸	胸腺瘤
草金鱼			骨囊肿
良健	骨科		
希望的山野	放射科	心胸	膈膨出
wukejiuyao999		骨肌	骨折
07619		心胸	气胸
cangy31	放射科	骨肌	胸肋锁骨骨肥厚
boldorg88			
jiangwenhui1234	骨科		
wenyu5188		心胸	结节病
W2007221712			
wuzhenshan	CT室		原发性肝癌
fangyuren			
footleg	超声科	求助区	
clairda	神经科	神经	脱髓鞘
OPFANrainbow	内科		大骨节病
1144845892		神经	
csych001			
土拨鼠先生		腹盆	
wymyxr666	影像科	心胸	结核病
mengnuhaohe	呼吸科	心胸	脑出血后遗症
过去的时光难忘怀	CT室	骨肌	骨旁骨肉瘤
handsomemaster		心胸	肺癌
belb	呼吸科	进展	肾损伤
小鸭子1992			
大海深蓝王	MRI室	神经	脑膜瘤
gusu	放疗科	核医	
这么快		心胸	支气管扩张症
新竹平易	CT室	腹盆	疝气
粉咯哩囡	神经科	交流	
czhq001	放射科		
张临峰	超声科	心胸	
水之光	放射科	腹盆	Castleman病
涨阗芗湘	CT室		
wuwangwo1993	CT室	心胸	肺炎
ctboy2005	CT室	腹盆	压缩性骨折
大坏蛋小坏蛋88	B超科	神经	头痛
西北校卫	放射科		非骨化性纤维瘤
沧桑学医			骨纤维异常增殖症
影像人生sml	放射科	骨肌	
dxy_jvls8u0r		腹盆	
医阳指			腹痛
llymmm	放射科	心胸	结核病
大坏蛋小坏蛋88	B超科	腹盆	腺瘤
1307李小玥		骨肌	
wbqq			
草金鱼		心胸	肺气肿
ruidababy	影像科	心胸	肺动脉发育不全
yijianfanshu	神经科	神经	甲亢
赤发灵官	内科	心胸	
cmuey1		讲座	
ruidababy	影像科	心胸	咯血
向子云		心胸	病毒性肺炎
wengwubiao		腹盆	肝囊肿
医七七八八		骨肌	
winterboys4		骨肌	骨折
建敏4G4M		心胸	
minidoctor	内分泌科	腹盆	棘球蚴病
1394755152	肿瘤外科	腹盆	结石
soguasogua		骨肌	尺骨撞击综合征
wymyxr666	影像科	心胸	淋巴管肌瘤病
康复11111	康复科		多发性骨骺发育不良
dxy_abai9te9			肝癌
漩涡一拳	呼吸科	交流	
lomo主义	内科	交流	肿瘤
德利医生		心胸	结核病
过去的时光难忘怀	CT室	骨肌	骨软骨瘤病
fenggdoc	影像科	腹盆	原发性肝癌
Jhffhj123	急诊科	腹盆	结石
zjphd		核医	肺癌
麦子青	影像科	腹盆	肾细胞癌
煮八戒	CT室	心胸	结核病
huqingliang	CT室	心胸	肺炎
姗姗不能说		心胸	病毒性肺炎
大Ding		心胸	
小羊瑞瑞		心胸	吸入性肺炎
xiongyi1833	影像科	腹盆	肝癌
强3VGI			骨肿瘤
microspine	麻醉科	骨肌	血管瘤
pediatricschen	小儿内科	心胸	
遇见你4567	内科		
光头鹏		技术	
吴重清	放射科		
吴重清	放射科		
丁香小鬼		腹盆	脂肪肝
甄惜2627		交流	血管瘤
甜菜沙拉		神经	
xiongyi1833	影像科	骨肌	髌骨骨折
tina7FPF		心胸	
lutonghua1984	内科	心胸	支气管扩张症
lj0806	肝胆外科	腹盆	肿瘤
放射科萧大夫	放射科	神经	动脉瘤
放射科萧大夫	放射科	神经	脑-面血管瘤病
santa8912		交流	范可尼贫血
cmuey1		讲座	
muzilw	放射科	骨肌	血管瘤
lutonghua1984	内科		支气管扩张症
影像人生sml	放射科	神经	脑膜瘤
甄惜2627		交流	血管瘤
cmuey1		讲座	
cm553421642	呼吸科	心胸	
cmuey1		讲座	
841006why	CT室	腹盆	淋巴瘤
xiongyi1833	影像科	心胸	支气管源性囊肿
llymmm	放射科	心胸	肺炎
jiangwenhui1234	骨科	神经	肿瘤
xiongyi1833	影像科	心胸	头痛
xiongyi1833	影像科	神经	空蝶鞍综合征
laogedou	放射科	神经	足部皮肤角化过度
qiuyuexinggu	MRI室	神经	
cmuey1		讲座	
belb	呼吸科	心胸	
liguo00001	影像科	神经	
奶盖用勺吃		交流	
lexiaoai	骨科	骨肌	软骨母细胞瘤
大海深蓝王	MRI室	神经	星形细胞瘤
千寻一梦	超声科	骨肌	骨折
神户龙虾_	骨科	心胸	
penghaiwen	关节骨科	技术	
A蓝色天空	脊柱外科	骨肌	骨折
水之光	放射科	面颈	结节性甲状腺肿
belb	呼吸科	心胸	结节病
fn1538305611		骨肌	
jiangwenhui1234	骨科	神经	植物神经功能紊乱
k747772616		核医	
126zhx	放射科	神经	
laogedou	放射科	面颈	腺淋巴瘤
330983598a	放射科		骨折
loveqd111	急诊科	神经	中枢神经系统肿瘤
charleslujian		交流	
laogedou	放射科	面颈	舌癌
cmuey1		讲座	
看穿一切吧		骨肌	戈谢病
soguasogua		心胸	胸内甲状腺肿
zzzsssjjj	放射科	腹盆	黄体囊肿
xiongyi1833	影像科	骨肌	眩晕
草金鱼		心胸	
wyg0335	胸外科	心胸	
杜倩妮	放射科	心胸	
xiongyi1833	影像科	心胸	食管囊肿
xiongyi1833	影像科	心胸	肺癌
gyjabc6572577		腹盆	原发性肝癌
任狐冲	骨科	骨肌	
沧桑学医		心胸	肿瘤
专治狐臭	急诊科	心胸	结核病
gxwxh		腹盆	癌症
ss影像		交流	
xiongyi1833	影像科	心胸	结核病
gxwxh		面颈	肿瘤
bbmm052		交流	
草金鱼		面颈	普通感冒
mjp008008	中医肿瘤科	腹盆	胆管癌
齿突	骨科	骨肌	癌症
dxy_5m1odzm9	普外科	骨肌	
gxwxh		面颈	癌症
yongxinyouth	精神心理科	神经	
yinchengchonglou	呼吸科	心胸	慢性肾脏病
草金鱼		腹盆	肝细胞腺瘤
gyjabc6572577		腹盆	乳头状瘤
gxwxh		心胸	肿瘤
心若无敌便无敌		心胸	肺癌
小小小doctors	内科	心胸	2型糖尿病
gyjabc6572577		心胸	Castleman病
Michael_KQ_S			
fangyuren		骨肌	
crowncheng		心胸	
18171493073yu		心胸	
CC2008	CT室	腹盆	膀胱癌
冷月虽美难暖人心		神经	软骨瘤
yyyuong		心胸	
功夫熊猫和蜘蛛侠			
zbp537		骨肌	
感恩的心		核医	
geyunfei	神经外科	骨肌	继发性青光眼
Leon-s		骨肌	骨折
善医良知	骨科	骨肌	
医阳指		腹盆	高血压
过去的时光难忘怀	CT室	骨肌	血管瘤
西北校卫	放射科	骨肌	非骨化性纤维瘤
hehe仔		交流	
潜心修炼998	重症医学科	腹盆	休克
呆子还是呆子	普外科	腹盆	胸腔积液
soguasogua		心胸	肺炎
dxy_7vuyn125		骨肌	糖尿病
老学者	神经科	介入	
西北校卫	放射科	腹盆	
zhengzuofeng	影像科	腹盆	
啊平--ha	影像科	骨肌	软骨黏液样纤维瘤
陈军_2018		神经	脑脓肿
遇到问题		腹盆	
gyjabc6572577		心胸	心包积液
过去的时光难忘怀	CT室	心胸	结核病
soguasogua		骨肌	骨软骨瘤
handsomemaster		骨肌	
王尼妹的	放射科	交流	
dolphin1978	呼吸科	神经	脑梗死
hongbo9999_2009	放射科	骨肌	骨软骨瘤
llymmm	放射科	心胸	
gxwxh		腹盆	腹部肿块
ggg13000		交流	结核病
soguasogua		心胸	
血小板的忧伤		神经	中枢神经系统白血病
华夏览雄	影像科	骨肌	痛风
caspar1026		腹盆	胆囊穿孔
handsomemaster		神经	脑膜瘤
handsomemaster		神经	脑梗死
handsomemaster		神经	神经鞘瘤
草金鱼		心胸	动脉瘤
西北校卫	放射科	心胸	主动脉夹层
sdzbhwf	CT室	骨肌	
dxy_suwwtr59	急诊科	交流	
xzimiv	放射科	腹盆	疝气
zhangtao1228		交流	
handsomemaster		神经	肿瘤
handsomemaster		神经	动脉瘤
草金鱼			
fox78901	放射科	骨肌	半肢骨骺发育异常
hushi6618	X线室	交流	
Lxm920911		交流	
xiaojing01		心胸	
gyjabc6572577		心胸	
草金鱼		骨肌	骨化性肌炎
zhaoxiaojing66	影像科	腹盆	
soguasogua		心胸	多发性骨髓瘤
a_cheng	骨科	腹盆	慢性胰腺炎
西北校卫	放射科	腹盆	
c892725801		交流	
handsomemaster		心胸	皮肤纤维瘤
handsomemaster		心胸	皮肤纤维瘤
vivian_1002_79	放射科	腹盆	原发性肝癌
junhao830	MRI室	神经	热性惊厥
soguasogua		心胸	肺炎
gyjabc6572577		心胸	血管瘤
gyjabc6572577		心胸	食管癌
水之光	放射科	面颈	肿瘤
lansingg	呼吸科	心胸	
wj9527	影像科	腹盆	乳头状瘤
hehe仔		心胸	大叶性肺炎
wanggs29		心胸	气胸
氢钋铟	未知	心胸	心脏病
水之光	放射科	交流	昏迷
dxy_a5gi3la0		神经	
dxy_a5gi3la0		神经	
aspirin1899		神经	表皮样囊肿
gy-cw		神经	血管外皮细胞瘤
介闯	普外科	交流	
o0i11i0o	耳鼻咽喉科	面颈	
欢欢招APP体验推广员		腹盆	多乳房
水之光	放射科	腹盆	肿瘤
玛那斯的挽歌	放疗科	心胸	
春哥哥123456	骨科	骨肌	肝硬化
123走着瞧		神经	
蔚蓝色天空2018	神经科	神经	烟雾病
影像人生sml	放射科	心胸	肺癌
dxy_z4mut5n0		心胸	肺癌
草金鱼		心胸	肺癌
yinchengchonglou	呼吸科	心胸	皮肤纤维瘤
星空7YW5	放射科	心胸	基拉迪蒂综合征
gyjabc6572577		神经	中毒
llymmm	放射科	心胸	结核病
摩比轩		技术	
了此人声	肝病科	腹盆	淋巴瘤
gyjabc6572577		腹盆	Castleman病
gxwxh		心胸	肺癌
影像人生sml	放射科	乳腺	
lansingg	呼吸科	心胸	
lansingg	呼吸科	心胸	
qiemo2006	影像科	腹盆	
gxwxh		心胸	支气管炎
大医非大愚	放射科	心胸	腹痛
1245075026智慧		心胸	
NyanDak	泌尿外科	交流	
时间不会说谎	放射科	骨肌	髋关节结核
水之光	放射科	面颈	腺瘤
chzhbin		心胸	
xzimiv	放射科	腹盆	卵巢冠囊肿
lsy以德服人		交流	
xbdydhddsj		交流	
skyrising	放射科	神经	淋巴瘤
水之光	放射科	腹盆	肠套叠
cmuey1		进展	
soguasogua			
liaosmliao	放射科	讲座	
过去的时光难忘怀	CT室	腹盆	
吴重清	放射科	心胸	
gxwxh		面颈	甲状舌管囊肿
ymxsyk	放射科	腹盆	肿瘤
eywsqyl	心胸外科	交流	泡型棘球蚴病
eywsqyl	心胸外科		
阿昕123		交流	
dxy_g8zpwfd9		神经	
_程先进_	CT室	交流	白发
gyjabc6572577		腹盆	肝结核
gyjabc6572577		心胸	肿瘤
欢欢招APP体验推广员		乳腺	
gyjabc6572577		腹盆	肿瘤
放射科萧大夫	放射科		
soguasogua		骨肌	软骨发育不全
soguasogua		骨肌	跟骨骨骺骨软骨病
muzilw	放射科	面颈	冠心病
soguasogua		骨肌	骨折
芝士焗虾		神经	足部皮肤角化过度
sdzbhwf	CT室	骨肌	浆细胞瘤
dxy_3ix0jlo		交流	
心若无敌便无敌		心胸	心包积液
那风那雨那虹		心胸	结核病
草金鱼		心胸	结核病
belb	呼吸科	心胸	肺泡蛋白质沉积症
芝士焗虾		神经	多系统萎缩
muzilw	放射科	面颈	多形性腺瘤
yuedepan	创伤骨科	骨肌	血管瘤
飞奔的草泥马		骨肌	先天性脊柱裂
华夏览雄	影像科	交流	头痛
ymxsyk	放射科	腹盆	肾细胞癌
cainiao03	CT室	心胸	
草金鱼		心胸	支气管源性囊肿
忘忘忘忘	骨科		骨折
Kevin嘉嘉		交流	46XX性发育睾丸疾病
yellow1688		骨肌	
gxwxh		面颈	肿瘤
ymxsyk	放射科	骨肌	软骨肉瘤
慕容姑娘	彩超科	交流	
laogedou	放射科	腹盆	葡萄胎
曲径通幽_	泌尿外科	面颈	
huqingliang	CT室	神经	脑梗死
gyjabc6572577		索引	
ymxsyk	放射科	心胸	癌症
ymxsyk	放射科	腹盆	淋巴瘤
weihongpo01	骨科	骨肌	
liguo00001	影像科		
会思考的手术刀		腹盆	
草金鱼		心胸	
soguasogua		骨肌	静脉曲张
zhw1205		骨肌	钙质沉着症
lansingg	呼吸科	技术	
右手的红叶		心胸	肺水肿
cf缺心眼cf		交流	
wuwangwo1993	CT室	心胸	肺炎支原体肺炎
婷子婷子x	放射科	骨肌	水肿
echo_wufei		骨肌	骨折
browdy_sjtu	骨科	骨肌	肿瘤
小笼包crystal	放射科	骨肌	骨巨细胞瘤
007909蓝天	口腔科	骨肌	
风格f		交流	
hmily_815	中医内科	交流	
ruidababy	影像科	心胸	房间隔缺损
1245075026智慧			
芝士焗虾		腹盆	肝细胞腺瘤
李桐桐0706	普外科	交流	
llymmm	放射科	腹盆	
liguo00001	影像科	心胸	肺结核
风玉子	放射科	腹盆	肿瘤
enyalynn	中医科	心胸	
sundocfx	骨科	骨肌	骨折
芝士焗虾		神经	多系统萎缩
aixinfe	普外科		腹泻
gyjabc6572577		神经	
liguo00001	影像科	心胸	
ymxsyk	放射科	腹盆	神经内分泌肿瘤
gyjabc6572577		心胸	肺结核
belb	呼吸科	心胸	肺水肿
gyjabc6572577		腹盆	管状腺瘤
新竹平易	CT室	骨肌	骨纤维异常增殖症
不一样的人cxx		腹盆	胆结石
ruidababy	影像科	心胸	主动脉夹层
07619		骨肌	先天性脊柱裂
dxy_4rfkmoj8		交流	
广济小生	CT室	骨肌	痛风
ruidababy	影像科	心胸	动静脉畸形
波涛心随风	放射科	骨肌	骨折
ymxsyk	放射科	腹盆	淋巴瘤
ymxsyk	放射科	腹盆	血管瘤
gyjabc6572577		心胸	肺曲菌病
gyjabc6572577		腹盆	肿瘤
放射小学生	CT室	心胸	
huaziyiranshuai	放射科	腹盆	囊状淋巴管瘤
牛轧糖h		心胸	
belb	呼吸科	心胸	
belb	呼吸科	心胸	肺水肿
gxwxh		心胸	类癌综合征
gxwxh		心胸	淋巴瘤
魏志强453	呼吸科	心胸	肺曲菌病
manyu115	影像科	腹盆	阑尾炎
zhanglan168000	CT室	心胸	鼻咽癌
向阳花开happycl	放射科	骨肌	肢骨纹状肥大
gxwxh		心胸	肺炎
草金鱼		腹盆	嗜铬细胞瘤
啊平--ha	影像科	骨肌	动脉瘤样骨囊肿
belb	呼吸科	心胸	
君子不动口	放射科	心胸	肺脓肿
加泰罗尼亚人	急诊科	心胸	应激性溃疡
czhq001	放射科	骨肌	骨软骨瘤
luoshiwo2010	介入医学科	介入	
hongbo9999_2009	放射科	心胸	
芝士焗虾		神经	颅咽管瘤
月落無聲	放射科	神经	头痛
芝士焗虾		神经	视网膜脱离
yiebusouhao	外科	腹盆	
longhu5018	影像科	心胸	上呼吸道感染
muzilw	放射科	腹盆	乳头状瘤
月落無聲	放射科	心胸	气胸
泥鳅大哥		骨肌	
nianda	内科	心胸	
123维维维		骨肌	成骨细胞瘤
漩涡一拳	呼吸科	交流	盲
月落無聲	放射科	心胸	结核病
keyikeyi29	康复科	神经	
橘子-医生		腹盆	
muzilw	放射科	腹盆	脂肪肉瘤
zkh602035363	急诊科	交流	水肿
xiaozi2	X线室	交流	
sophie0310		腹盆	胰腺炎
邓成刚		骨肌	Jaffe综合征
1144845892		骨肌	痛风
似之刀影		交流	
星空7YW5	放射科	骨肌	半肢骨骺发育异常
skyrising	放射科	神经	脑膜瘤
2611尼	急诊科	骨肌	
soguasogua		心胸	支气管扩张症
新竹平易	CT室	骨肌	急腹症
gxwxh		心胸	肺癌
gxwxh		腹盆	嗜铬细胞瘤
nowisall	小儿内科	心胸	大叶性肺炎
放射小学生	CT室	心胸	
月落無聲	放射科	骨肌	骨折
cotadc		心胸	支气管扩张症
zhengzuofeng	影像科	面颈	桥本甲状腺炎
alex1234		心胸	
月落無聲	放射科	神经	骨折
昕诚则灵	外伤科	骨肌	
soguasogua		心胸	
暴躁的地蛋	放射科	心胸	
cotadc		心胸	胸腺瘤
超级龅牙兔gg			
wzx213	内分泌科	图库	胆结石
soguasogua		心胸	
zhengzuofeng	影像科	心胸	病毒性肺炎
聊聊120	影像科	心胸	
pony201	核医学科	骨肌	骨嗜酸性肉芽肿
niuniubalabala		神经	
月落無聲	放射科	心胸	结核病
月落無聲	放射科	心胸	肺气肿
东点一坨子	呼吸科	进展	癌症
许大桃	影像科		
wzy1984	中医内科	技术	
感恩的心		技术	
nanfanghu	CT室	腹盆	食管穿孔
曾杰锋	超声科		精索扭转
赵炳武			肺气肿
Hty000		交流	
曾杰锋	超声科		
szzc2001	中医内科	心胸	腺瘤
大坏蛋小坏蛋88	B超科	心胸	结核病
123走着瞧		交流	
ldt	内科	心胸	过敏性肺炎
独孤小贱		骨肌	疝气
pccih			
newset	呼吸科	核医	
影像人生sml	放射科	心胸	肿瘤
此生不变WJQT		骨肌	发育迟缓
无忌一指灵素	放射科	骨肌	
redheart1026	骨科	骨肌	
大头爸爸小头妈妈	呼吸科	交流	肺癌
a98336	B超科	妇产	葡萄胎
gxwxh		心胸	肺癌
想学习的人	超声科		
ymxsyk	放射科	神经	脑膜瘤
磁共振	MRI室	神经	肿瘤
_程先进_	CT室	交流	泡型棘球蚴病
dxy_tawn6zce			
dxy_tawn6zce			腹痛
太空堡垒2013	超声科		
张临峰	超声科		肾积水
dxy_u6sn4u29		骨肌	乳腺癌
范范大美女		腹部	
leeyanjuan	超声科	妇产	肿瘤
nztang2016	康复科		
gintamaben	超声科		
菊花I0SS	超声科		子宫内膜癌
leeyanjuan	超声科	妇产	腹水
范范大美女		妇产	肿瘤
范范大美女		浅表器官	
dxy_ryx9pv94			
范范大美女		浅表器官	
范范大美女		浅表器官	
一直在奋斗的胖子			甲亢
范特西_	超声科		肿瘤
dxy_tawn6zce			
footleg	超声科	腹部	
dm221184	超声科	心胸血管	心肌梗死
240756809	B超科		阑尾炎
月落無聲	放射科	心胸	肺炎
范特西_	超声科	腹部	
噜噜噜苇		腹盆	原发性肝癌
老古月	骨科	腹盆	肾错构瘤
huaziyiranshuai	放射科	腹盆	神经鞘瘤
尹奔	彩超科		腱鞘囊肿
NingGMIK			胆结石
fjsf1	心胸外科	心胸	骨软骨瘤
半果页牙			心房颤动
华夏览雄	影像科	交流	肺炎
mlmy	肾脏内科		亚急性甲状腺炎
小曾2015	内科		
二磷酸腺苷	B超科		动脉瘤
DoctorGY1		神经	胶质母细胞瘤
dxy_ieda0604		骨肌	成骨细胞瘤
思雨cjg		骨肌	骨折
chenghaiyao	超声科		肿瘤
大漠烟		腹部	
xihuansushi	超声科	翻译进展	下颌后缩
野猪儿	超声科		
hhh159357			
dxy_p2sf4qn4			前置胎盘
acdseev			
w_wj	检验科		腹痛
xxys	普外科	心胸	结核病
xunjiangye	彩超科	妇产	闭经
zr1724945210	超声科		
如若你见			单纯肾异位
ghqngys			
xiaolubenben			腹水
月影			乳腺增生
yaohaoshuang	CT室	骨肌	
muzilw	放射科	腹盆	肿瘤
lehua123	B超科		
dwj111	放射科		甲状腺结节
不忘考研心			血管瘤
芝士焗虾		腹盆	胰腺炎
五个太阳1385	超声科		盲
江浩源	超声科		乳腺增生
范特西_	超声科	腹部	盲
zhanqiujun520	彩超科		性病
小公主窝	B超科		腭裂
小公主窝	B超科		
芝士焗虾		交流	气胸
dm221184	超声科	浅表器官	血管瘤
半果页牙			
yezhonggui			阴道流血
沈华容			
qiulina1020			
过去的时光难忘怀	CT室	骨肌	结核病
yinchengchonglou	呼吸科	心胸	肺癌
啊啊啊阿司匹林			甲状舌管囊肿
酱酱酱在实习了			流产
glj2008129173	超声科		心律失常
roderick89	超声科	浅表器官	勃起功能障碍
roderick89	超声科	腹部	血尿
zr1724945210	超声科		表皮样囊肿
一剑花烟雨江南一		腹部	
张临峰	超声科		肿瘤
dxy_fv8r4qn9	超声科		
panxingkenihao	超声科		肿瘤
dxy_zstu0kyq			
pink55555	妇科内分泌		
爱萌的梦梦			淋巴瘤
dxy_7y6h7497			结石
Isaac换恒誠惰傲		交流	
张临峰	超声科		血管瘤
门静脉堵着了		介入	
xunjiangye	彩超科	腹部	腹痛
缘来幸福	彩超科	浅表器官	
缘来幸福	彩超科	浅表器官	
liao2016			
gyjabc6572577		腹盆	淋巴瘤
zhaoxveqian	肾脏内科	妇产	
dong2C47	妇科		
dxy_tawn6zce			
qclzh_ok	超声科		脂肪瘤
shuangziking	呼吸科		
zs168	超声科	浅表器官	结核病
范特西_	超声科	浅表器官	咽食管憩室
缘来幸福	彩超科	浅表器官	
缘来幸福	彩超科	腹部	
光明正义		交流	脉络膜脱离
上古天涯	超声科		鞘膜积液
dxy_mvi0adx7			肥胖症
cj2277	B超科	妇产	
dxy_gkm1dq65			
laogedou	放射科	面颈	脂肪瘤
做一个良医丶			乳腺增生
tangxinhui	超声科	妇产	宫外孕
tangxinhui	超声科	交流	
shedow824	彩超科		先天性心脏病
流氓兔PGCB	彩超科		
流氓兔PGCB	彩超科		
dxy_4o1xdbce			
MIBC	超声科		皮脂腺囊肿
毛毛毛鱼			
ly1192609919			
范特西_	超声科	浅表器官	
zdb120	彩超科		多囊肾
laogedou	放射科	面颈	
张临峰	超声科		先天性卵巢发育不全综合征
赵sss	内科		
MIBC	超声科		
cmuey1		经颅多普勒	
Somerous			
snowyard	超声科		乳腺癌
laogedou	放射科	神经	腹泻
流氓兔PGCB	彩超科		单心室
阿茉西琳			甲状腺结节
小雨O3XD	心胸外科		结石
snowyard	超声科	浅表器官	乳腺炎
514478687葛立杰			
tianjian1127	影像科	心胸	肺气肿
爱吃爱玩大智慧			
dxy_whoupms5			结核病
太阳陈			人工流产
pengxiaoq	超声科	浅表器官	乳头内陷
zs168	超声科	浅表器官	血管瘤
snowyard	超声科	浅表器官	脂肪肉瘤
laogedou	放射科	面颈	腺淋巴瘤
空白的空白			
footleg	超声科	腹部	血尿
大胖墩牛牛			甲状腺结节
爱吃爱玩大智慧			
范范大美女		腹部	髓状海绵样肾
考执业的某某酱	B超科		
yuyuen	小儿内科	心胸	
xihuansushi	超声科	翻译进展	骨皮质密度异常
范范大美女		浅表器官	
深呼吸syq	超声科		黄疸
dxy_j7zvkgmq			
belb	呼吸科	心胸	胸膜炎
缘来幸福	彩超科	浅表器官	
dxy_tawn6zce			
zxt435261991			普通感冒
youzhu_412		肌骨	神经鞘瘤
liulicgx	消化内科		
w_wj	检验科		卵巢肿瘤
dxy_tawn6zce			
zxt435261991			肿瘤
qq894366435			
幸福猫猫1999			胸腔积液
哈哈不是二哈			
沛沛沛002	超声科		
范特西_	超声科	浅表器官	弥漫性脑硬化
jwk顽石	超声科	浅表器官	乳腺囊性增生病  
Ouyeung	超声科	妇产	
dxy_05hwbd6			
我就问还有谁			结石
六道之力			强迫障碍
张临峰	超声科		肾细胞癌
cysyxsg	妇科		结节性甲状腺肿
火蓝_柳叶刀			
EricaWT55			
dxy_4mgdjece		腹部	血管瘤
justforfunhaha			
张临峰	超声科		结石
狐狸的刺猬			
djp770118	超声科		脂肪瘤
西北校卫	放射科		
dxy_qg8f1ri9			桥本甲状腺炎
大米cecilia			
a平淡			
trucy1234	超声科		腹痛
dxy_jdb2uelq			
小颖1172195008			
六道之力			脾破裂
gzzm	B超科		
xihuansushi	超声科	翻译进展	室间隔缺损
范特西_	超声科	浅表器官	
缘来幸福	彩超科	腹部	肝硬化
yjy杨医生	超声科	胃肠	肠梗阻
dxy_gwexbfi4	影像科		结节性甲状腺肿
小小菜鸟鸟	中医骨伤科		
任sri			先天性卵巢发育不全综合征
yjy杨医生	超声科		肠梗阻
zs168	超声科	浅表器官	结节性筋膜炎
yjy杨医生	超声科		
太空堡垒2013	超声科		睾丸淋巴瘤
songjunrui	彩超科	妇产	阑尾炎
偷偷取经	超声科		表皮样囊肿
范特西_	超声科	浅表器官	甲状腺结节
北漂的蚁族		交流	
缘来幸福	彩超科	妇产	
PYH22511470	B超科		
33XE6F		妇产	黄体囊肿
cat533566	超声科		
guzhenhaoren	消化内科		甲状腺功能减退症
我要奋斗TUX4		图库	慢性乙型肝炎
今夏的天			脐带打结
半果页牙			
糖妞			
EARTH0817005379	B超科		
小丽子小超医	超声科		
半果页牙			尿路感染
dxy_fzuwk9sw			
majunfei13579	彩超科		
图拉丁的赛扬	超声科	心胸血管	主动脉瓣狭窄
超声心电图	彩超科		
飞翔的巴拉克		交流	肝棘球蚴病
张临峰	超声科		结石
图拉丁的赛扬	超声科	浅表器官	
zhangjin1983	超声科		脂肪瘤
芝士焗虾			坏死性筋膜炎
芝士焗虾			马凡综合征
山峰之巅	放射科		阑尾炎
ww阿木	超声科	交流	
panxingkenihao	超声科		
张临峰	超声科		脾囊肿
majunfei13579	彩超科		
安然pl			
xulixin200423	超声科		
anfyliu			结节性甲状腺肿
瞎落落		交流	脂肪瘤
ly人在旅途	妇产科		
范特西_	超声科	妇产	
dxy_nusirdgr	超声科		
bayernmun1986		心胸血管	肺动脉高压
zs168	超声科	浅表器官	结核病
jwk顽石	超声科	浅表器官	
张临峰	超声科		46XX性发育睾丸疾病
luminaly			
dxy_4su87mf2			
bmwsyllq	小儿内科		室内传导阻滞
麦寇帅	超声科	浅表器官	疝气
凌微梦洁	B超科		畸胎瘤
范特西_	超声科	浅表器官	
liugang_sz	麻醉科	翻译进展	
dxy_qff9l0u6		心胸血管	
zs168	超声科	浅表器官	类风湿关节炎
诺半生风月	超声科		子宫腺肌病
雪梨牙	B超科		附睾炎
240756809	B超科		腹痛
zlxzzy			
JYGOOD			
zhang15286486529	B超科		肾积水
芝士焗虾			Leigh病
芝士焗虾			足部皮肤角化过度
丁香公开课		技术	肿瘤
dxy_tawn6zce			甲状腺肿
candyanlihua	超声科		乳腺炎
zzw912210	彩超科		
dxy_sbbuast6			
xihuansushi	超声科	翻译进展	
dxy_tawn6zce			
drifter_			
yxjdljdy	妇产科	妇产	胎儿生长迟缓
ambitiontom	骨科		
未先生			皮脂腺囊肿
xunjiangye	彩超科	浅表器官	肿瘤
缘来幸福	彩超科	浅表器官	表皮样囊肿
daixs1992			
来来不是菠菜		腹部	骨髓增生异常综合征
芝士焗虾			继发性青光眼
409373696	超声科	妇产	
xunjiangye	彩超科	浅表器官	毛基质瘤
haoyinyi			类癌综合征
花儿朵朵321	超声科		
小鱼先游			血管瘤
kristy044			脾大
snowyard	超声科	腹部	肝脓肿
秋风无情	功能检查科		
林彩		浅表器官	神经鞘瘤
kristy044			
wcc721		交流	冠心病
EARTH0817005379	B超科		
芝士焗虾			胎盘血管瘤综合征
芝士焗虾			肿瘤
yxjdljdy	妇产科	妇产	胎儿生长迟缓
a平淡			
芝士焗虾			深静脉血栓
pal_99	超声科	肌骨	痛风
dabi888	皮肤科		
zdb120	彩超科		
sapphireS5			
飘医			
wss245699009	B超科	浅表器官	静脉曲张
xcb0913	彩超科		
菊花I0SS	超声科		咽异物
majunfei13579	彩超科	腹部	脾破裂
缘来幸福	彩超科	妇产	痛经
lei0325	超声科		老年久病卧床
缘来幸福	彩超科	浅表器官	纤维腺瘤
wcc721		心胸血管	冠心病
dxy_gwexbfi4	影像科		
shirley_s	超声科		黄体囊肿
小叮当-123	功能检查科		
zdb120	彩超科		肝囊肿
zdb120	彩超科		
无敌-超人			
YanirU			
EST123	小儿内科	交流	
点点学长	超声科		
麦寇帅	超声科	浅表器官	性病性淋巴肉芽肿
jwk顽石	超声科	腹部	肺气肿
太空堡垒2013	超声科		
dxy_8e4zz1n4			
医学生木子			
芝士焗虾			结节性脂膜炎
芝士焗虾			结节性筋膜炎
医心一意g			
shailianbaobei	计划生育科		
zkyhy	超声科		卵巢囊肿
百无一用是废柴			
xunjiangye	彩超科	妇产	肾积水
ss3168	超声科		
菊花I0SS	超声科		
刘磊朱娜			
hyq19860925	妇科		乳腺癌
xiaoyusteve	心胸外科	考试	
丽美天使	超声科	胃肠	肠扭转
